name,qs,the,usnews,arwu,employer,labels,aliases,source,ranking_year,source_note
University of Michigan-Ann Arbor,45,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
"University of California, Los Angeles (UCLA)",46,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Delft University of Technology,47,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Shanghai Jiao Tong University,47,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Zhejiang University,49,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Yonsei University,50,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
University of Bristol,51,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
Carnegie Mellon University,52,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
The University of Amsterdam,53,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
The Hong Kong Polytechnic University,54,,,,,public-seed;qs-top300,,https://www.csghs.tp.edu.tw/wp-content/uploads/doc/zs271/Top_1500_World_University_Rankings_2026%E3%80%8C%E4%B8%96%E7%95%8C%E5%A4%A7%E5%AD%B8%E6%8E%92%E5%90%8D%E5%89%8D1500%E5%90%8D%E5%A4%A7%E5%AD%B8%E5%90%8D%E5%96%AE%E3%80%8D.pdf,2026,QS World University Rankings 2026 Top 300 parsed from public Top 1500 PDF
